# Door Parts
11 exploded diagrams | BG5P Legacy GL EJ20E SOHC NA

## Parts by Diagram

### 600_01: FRONT DOOR PANEL
60152GA090 | PIN-DOOR CHECKER x02 | 02.1997 - 11.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(25+OBK)
901270002 | BOLT & WASHER ASSEMBLY x08 | 02.1997 - 11.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(25+OBK)
62302AC101 | CHECKER ASSEMBLY-FRONT DOOR x02 | 02.1997 - 11.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(25+OBK)
901000160 | FLANGE BOLT x08 | 02.1997 - 11.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(25+OBK)
61220AC010 | HINGE-FRONT DOOR,LOWER x02 | 02.1997 - 11.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(25+OBK)
62305FA000 | SCREW GROMMET x02 | 02.1997 - 11.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(25+OBK)
62301AC100 | WEATHER STRIP-DOOR,OUT RH x01 | 09.1998 - 11.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(25+OBK)
62301AC002 | WEATHER STRIP-DOOR,OUT RH x01 | 02.1997 - 08.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(25+OBK)
62301AC110 | WEATHER STRIP-DOOR,OUT LH x01 | 09.1998 - 11.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(25+OBK)
62301AC012 | WEATHER STRIP-DOOR,OUT LH x01 | 02.1997 - 08.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(25+OBK)
904510047 | TAPPING SCREW-TRUSS HEAD x02 | 02.1997 - 11.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(25+OBK)
62303FA011 | STABILIZER ASSEMBLY-OUTER x04 | 02.1997 - 11.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(25+OBK)
62300AC020 | SASH ASSEMBLY-FRONT DOOR REAR RIGHT x01 | 02.1997 - 11.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(25+OBK)
62300AC030 | SASH ASSEMBLY-FRONT DOOR REAR LEFT x01 | 02.1997 - 11.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(25+OBK)
62300AC000 | SASH ASSEMBLY-FRONT DOOR FRONT RIGHT x01 | 02.1997 - 11.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(25+OBK)
62300AC010 | SASH ASSEMBLY-FRONT DOOR FRONT LEFT x01 | 02.1997 - 11.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(25+OBK)
62320AC000 | GUSSET ASSEMBLY-DOOR,RIGHT x01 | 02.1997 - 11.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(25+OBK)
62304FA001 | STABILIZER ASSEMBLY-DOOR,INNER x04 | 02.1997 - 11.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(25+OBK)
62320AC010 | GUSSET ASSEMBLY-DOOR,LEFT x01 | 02.1997 - 11.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(25+OBK)
010106120 | FLANGE BOLT-PILOT
902600002 | NUT x12 | 02.1997 - 11.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(25+OBK)
010006160 | FLANGE BOLT-PILOT
901000165 | FLANGE BOLT x04 | 02.1997 - 11.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(25+OBK)
62310AC110 | SEALING COVER-FRONT DOOR x02 | 02.1997 - 11.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(25+OBK)
023706000 | FLANGE NUT
62307AC010 | CLIP-WEATHER STRIP,OUTER LEFT x06 | 02.1997 - 11.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(25+OBK)

### 601_01: FRONT DOOR PARTS (GLASS & REGULATOR)
62210AC080NA | GLASS ASSEMBLY-FRONT DOOR,RIGHT x01 | 02.1997 - 11.1998 | S.2W +S.25
62210AC090NA | GLASS ASSEMBLY-FRONT DOOR,LEFT x01 | 02.1997 - 11.1998 | S.2W +S.25
62250AA000 | SLIDER-FRONT GLASS x02 | 02.1997 - 11.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(25+OBK)
62112AC100 | REGULATOR ASSEMBLY-FRONT RIGHT x01 | 02.1997 - 11.1998 | S.2W.GL +S.25 +W.2W.GL +W.(25+OBK) +W.LX.A/S
62112AC110 | REGULATOR ASSEMBLY-FRONT LEFT x01 | 02.1997 - 11.1998 | S.2W.GL +S.25 +W.2W.GL +W.(25+OBK) +W.LX.A/S
85511AC040 | MOTOR ASSEMBLY-REGULATOR x01 | 02.1997 - 11.1998 | S.2W.GL +S.25 +W.2W.GL +W.(25+OBK) +W.LX.A/S
85511AC050 | MOTOR ASSEMBLY-REGULATOR FRONT LEFT x01 | 02.1997 - 11.1998 | S.2W.GL +S.25 +W.2W.GL +W.(25+OBK) +W.LX.A/S
023706000 | FLANGE NUT
901000040 | FLANGE BOLT x16 | 02.1997 - 11.1998 | S +W
043506120 | SCREW AND WASHER ASSEMBLY

### 602_01: FRONT DOOR PARTS (LATCH & HANDLE)
62410AC020WG | HANDLE ASSEMBLY-FRONT DOOR OUTER RIGHT x01 | 02.1997 - 11.1998 | S.2W.GL +S.25 +W.2W.GL +W.(25+OBK)
62410AC020FM | HANDLE ASSEMBLY-FRONT DOOR OUTER RIGHT x01 | 02.1997 - 11.1998 | S.(GL+25) +W.(GL+25+OBK)
62410AC020FT | HANDLE ASSEMBLY-FRONT DOOR OUTER RIGHT x01 | 02.1997 - 11.1998 | S.GL.EJ20E +S.25 +W.(GL+25)
62410AC020IB | HANDLE ASSEMBLY-FRONT DOOR OUTER RIGHT x01 | 02.1997 - 11.1998 | S.(GL+25) +W.(GL+25)
62410AC020LG | HANDLE ASSEMBLY-FRONT DOOR OUTER RIGHT x01 | 02.1997 - 11.1998 | S.GL.EJ20E +S.25 +W.(GL+25)
62410AC020SG | HANDLE ASSEMBLY-FRONT DOOR OUTER RIGHT x01 | 02.1997 - 11.1998 | S.(GL+25) +W.(GL+25)
62410AC020UA | HANDLE ASSEMBLY-FRONT DOOR OUTER RIGHT x01 | 02.1997 - 11.1998 | S.(GL+25) +W.(GL+25)
62410AC020UF | HANDLE ASSEMBLY-FRONT DOOR OUTER RIGHT x01 | 02.1997 - 11.1998 | S.GL.EJ20E +S.25 +W.(GL+25+OBK)
62410AC030IB | HANDLE ASSEMBLY-FRONT DOOR OUTER LEFT x01 | 02.1997 - 11.1998 | S.(GL+25) +W.(GL+25)
62410AC030UF | HANDLE ASSEMBLY-FRONT DOOR OUTER LEFT x01 | 02.1997 - 11.1998 | S.GL.EJ20E +S.25 +W.(GL+25+OBK)
62410AC030UA | HANDLE ASSEMBLY-FRONT DOOR OUTER LEFT x01 | 02.1997 - 11.1998 | S.(GL+25) +W.(GL+25)
62410AC030SG | HANDLE ASSEMBLY-FRONT DOOR OUTER LEFT x01 | 02.1997 - 11.1998 | S.(GL+25) +W.(GL+25)
62410AC030LG | HANDLE ASSEMBLY-FRONT DOOR OUTER LEFT x01 | 02.1997 - 11.1998 | S.GL.EJ20E +S.25 +W.(GL+25)
62410AC030WG | HANDLE ASSEMBLY-FRONT DOOR OUTER LEFT x01 | 02.1997 - 11.1998 | S.2W.GL +S.25 +W.2W.GL +W.(25+OBK)
62410AC030FT | HANDLE ASSEMBLY-FRONT DOOR OUTER LEFT x01 | 02.1997 - 11.1998 | S.GL.EJ20E +S.25 +W.(GL+25)
62410AC030FM | HANDLE ASSEMBLY-FRONT DOOR OUTER LEFT x01 | 02.1997 - 11.1998 | S.(GL+25) +W.(GL+25+OBK)
62411AC000 | ROD-OUTER HANDLE,RIGHT x01 | 02.1997 - 11.1998 | S +W
62510AC000ML | REMOTE ASSEMBLY-DOOR,RIGHT x01 | 02.1997 - 11.1998 | S +W
62412FA000 | HOLDER-DOOR HANDLE FRONT,RIGHT x01 | 02.1997 - 11.1998 | S +W
62411AC010 | ROD-OUTER HANDLE,LEFT x01 | 02.1997 - 11.1998 | S +W
62510AC010ML | REMOTE ASSEMBLY-DOOR,LEFT x01 | 02.1997 - 11.1998 | S +W
62412FA010 | HOLDER-DOOR HANDLE FRONT,LEFT x01 | 02.1997 - 11.1998 | S +W
661179000 | SCREW GROMMET x06 | 02.1997 - 11.1998 | S +W
62329FA021 | SCREW x08 | 02.1997 - 11.1998 | S.(GL+25) +W.(GL+25+OBK) +W.LX.A/S +W.LX.AT
909205040 | CLIP x02 | 02.1997 - 11.1998 | S +W
62530AC000 | TAPPING SCREW-DOOR PARTS x04 | 02.1997 - 11.1998 | S +W
904210030 | SCREW-OVAL HEAD x06 | 02.1997 - 11.1998 | S +W
62314FA100 | STRIKER-DOOR x02 | 02.1997 - 11.1998 | S +W
901000058 | FLANGE BOLT x04 | 02.1997 - 11.1998 | S +W
62520AC010 | HOLDER-REMOTE x02 | 02.1997 - 11.1998 | S +W
62318AC000 | LATCH & BRACKET-FRONT DOOR,RIGHT x01 | 02.1997 - 11.1998 | S.(GL+25) +W.(GL+25+OBK) +W.LX.A/S +W.LX.AT
045005200 | TAPPING SCREW-TRUSS HEAD
62318AC030 | LATCH & BRACKET-FRONT DOOR,LEFT x01 | 02.1997 - 11.1998 | S.25 +W.(25+OBK)
62316AC002 | ACTUATOR ASSEMBLY-DOOR,RIGHT x01 | 02.1997 - 11.1998 | S.(GL+25) +W.(GL+25+OBK) +W.LX.A/S +W.LX.AT
62316AC032 | ACTUATOR ASSEMBLY-DOOR,LEFT x01 | 02.1997 - 11.1998 | S.25 +W.(25+OBK)
904650001 | SCREW x04 | 02.1997 - 08.1998 | S +W
904650003 | SCREW x04 | 09.1998 - 11.1998 | S +W
901000158 | FLANGE BOLT x05 | 02.1997 - 11.1998 | S +W

### 610_01: REAR DOOR PANEL
61400AC320 | PANEL ASSEMBLY-REAR DOOR,RIGHT x01 | 02.1997 - 11.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(25+OBK)
61401AC200 | PANEL ASSEMBLY-REAR DOOR,RIGHT x01 | 02.1997 - 11.1998 | S.2W.EJ20E +S.25 +W.2W +W.A/S +W.(25+OBK)
61520AC000 | HINGE-REAR DOOR UPPER,RIGHT x01 | 02.1997 - 11.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(25+OBK)
61520AC010 | HINGE-REAR DOOR UPPER,LEFT x01 | 02.1997 - 11.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(25+OBK)
61400AC330 | PANEL ASSEMBLY-REAR DOOR,LEFT x01 | 02.1997 - 11.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(25+OBK)
61401AC210 | PANEL ASSEMBLY-REAR DOOR,LEFT x01 | 02.1997 - 11.1998 | S.2W.EJ20E +S.25 +W.2W +W.A/S +W.(25+OBK)
63323AC000 | COVER-CATCHER,RIGHT x04 | 02.1997 - 11.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(GL+25+OBK)
901270002 | BOLT & WASHER ASSEMBLY x06 | 02.1997 - 11.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(25+OBK)
63323AC010 | COVER-CATCHER,LEFT x01 | 02.1997 - 11.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(GL+25+OBK)
