section,category_code,category_name,group_code,group_name,oem_number,quantity,production_period,applicable_option,spec_color,trim_code,applies_for_models,notes,replacements
body,621,BACK DOOR GLASS,63011,GLASS-REAR GATE,60201AC072NB,01,01.06.1997 - 30.11.1998,,,,W.(BRI#+TSR),,
body,621,BACK DOOR GLASS,63066D*A,CLIP-REAR GATE GLASS,60223AC010,02,01.06.1997 - 30.11.1998,,,,W,NO.1,
body,621,BACK DOOR GLASS,63066D*B,CLIP-REAR GATE GLASS,60233AC000,02,01.06.1997 - 30.11.1998,,,,W,NO.2,
body,621,BACK DOOR GLASS,63166B,"HOLDER-REAR GATE GLASS,UPPER RIGHT",60222AC000,01,01.06.1997 - 30.11.1998,,,,W,,
body,621,BACK DOOR GLASS,63166C,"HOLDER-REAR GATE GLASS,UPPER LEFT",60222AC010,01,01.06.1997 - 30.11.1998,,,,W,,
body,621,BACK DOOR GLASS,63166D,"HOLDER-REAR GATE GLASS,LOWER RIGHT",60222AC020,01,01.06.1997 - 30.11.1998,,,,W,,
body,621,BACK DOOR GLASS,63166E,"HOLDER-REAR GATE GLASS,LOWER LEFT",60222AC030,01,01.06.1997 - 30.11.1998,,,,W,,
