section,category_code,category_name,group_code,group_name,oem_number,quantity,production_period,applicable_option,spec_color,trim_code,applies_for_models,notes,replacements
body,920,COWL PANEL,91084X,"CLIP-PIN,F",91167AA110,03,01.06.1997 - 30.11.1998,,,,S +W,,
body,920,COWL PANEL,91162Q,clip,91167AA000,03,01.06.1997 - 30.11.1998,,,,S +W,,
body,920,COWL PANEL,91411,COWL PANEL ASSEMBLY,91151AC000,01,01.06.1997 - 30.11.1998,,,,S +W,,
body,920,COWL PANEL,91411A,"COWL PANEL,RIGHT",91152AC050,01,01.06.1997 - 30.11.1998,,,,S +W,,
body,920,COWL PANEL,91411B,"COWL PANEL,LEFT",91152AC060,01,01.06.1997 - 30.11.1998,,,,S +W,,
body,920,COWL PANEL,91461C,COVER-HOOD HINGE RIGHT,91153AC100,01,01.06.1997 - 30.11.1998,,,,S +W,,
body,920,COWL PANEL,91461D,COVER-HOOD HINGE LEFT,91153AC110,01,01.06.1997 - 30.11.1998,,,,S +W,,
body,920,COWL PANEL,91482,PLUG-FRONT PANEL,91153AC000,01,01.06.1997 - 30.11.1998,,,,S +W,,
body,920,COWL PANEL,99045Z,FASTENER,99045AC000,04,01.06.1997 - 30.11.1998,,,,S +W,,
