section,category_code,category_name,group_code,group_name,oem_number,quantity,production_period,applicable_option,spec_color,trim_code,applies_for_models,notes,replacements
engine,006,CYLINDER HEAD,11039,HEAD ASSEMBLY-CYLINDER,11039AB091,02,01.06.1997 - 30.11.1998,,,,EJ20E,lean burn excluding,
engine,006,CYLINDER HEAD,11044,GASKET-CYLINDER HEAD,11044AA364,02,01.06.1997 - 30.11.1998,,,,EJ20E,,
engine,006,CYLINDER HEAD,11095,BOLT ASSEMBLY-CYLINDER HEAD,11095AA090,12,01.06.1997 - 30.11.1998,,,,EJ18E +EJ20E,,11095AA140 ITCA part is available
engine,006,CYLINDER HEAD,13214,GUIDE-VALVE,13212AA040,08,01.06.1997 - 30.11.1998,,,,EJ18E +EJ20E,exhaust,
engine,006,CYLINDER HEAD,13214,GUIDE-VALVE,13212AA120,08,01.06.1997 - 30.11.1998,,,,EJ18E +EJ20E,intake,
engine,006,CYLINDER HEAD,A91039,STUD,800910390,06,01.06.1997 - 30.11.1998,,,,EJ18E +EJ20E,,800910550 ITCA part is available
engine,006,CYLINDER HEAD,E01006,STRAIGHT PIN,804010060,04,01.06.1997 - 30.11.1998,,10X12,,EJ18E +EJ20E,,
