section,category_code,category_name,group_code,group_name,oem_number,quantity,production_period,applicable_option,spec_color,trim_code,applies_for_models,notes,replacements
body,942,ROOF TRIM,65585C,clip,65548GA210MS,02,01.06.1997 - 30.11.1998,,,,*W.F4W.TXS.AT +W.F4W.BRIGLD.N/S +W.(TSR+GT#+25T#+LAN#),,
body,942,ROOF TRIM,94416,TRIM PANEL-ROOF,94416AC000MS,01,01.06.1997 - 30.11.1998,,,,*W.F4W.TXS.AT +W.F4W.BRIGLD.N/S +W.TSR,,
body,942,ROOF TRIM,94426,TRIM PANEL-SUN ROOF,94426AC401MS,01,01.06.1997 - 30.11.1998,,,,*W.F4W.TXS.AT +W.F4W.BRIGLD.N/S +W.TSR,,
body,942,ROOF TRIM,94480,"clip,roof",94450AC000,04,01.06.1997 - 30.11.1998,,,,*W.F4W.TXS.AT +W.F4W.BRIGLD.N/S +W.(TSR+GT#+25T#+LAN#),,
body,942,ROOF TRIM,94480B,"clip,roof",94450AC020MS,02,01.06.1997 - 30.11.1998,,,,*W.F4W.TXS.AT +W.F4W.BRIGLD.N/S +W.(TSR+GT#+25T#+LAN#),,
body,942,ROOF TRIM,94480E,CLIP-ROOF TRIM,94099AA230,04,01.06.1997 - 30.11.1998,,,,W,,
body,942,ROOF TRIM,94482,CAP-TRIM PANEL ROOF,94077AA030MS,01,01.06.1997 - 30.11.1998,,,,*W.F4W.TXS.AT +W.F4W.BRIGLD.N/S +W.(TSR+GT#+25T#+LAN#),,
