section,category_code,category_name,group_code,group_name,oem_number,quantity,production_period,applicable_option,spec_color,trim_code,applies_for_models,notes,replacements
body,955,FLOOR INSULATOR,90815F,INSULATOR-FRONT PILLAR,90815AC220,02,01.06.1997 - 30.11.1998,,,,W,,
body,955,FLOOR INSULATOR,90815W,"INSULATOR-REAR QUARTER,RIGHT",90815AC020,01,01.06.1997 - 30.11.1998,,,,W,,
body,955,FLOOR INSULATOR,90815X,"INSULATOR-REAR QUARTER,LEFT",90815AC030,01,01.06.1997 - 30.11.1998,,,,W,,
body,955,FLOOR INSULATOR,90816F,INSULATOR-REAR ARCH,90815AC200,02,01.06.1997 - 30.11.1998,,,,W,,
body,955,FLOOR INSULATOR,90816I,INSULATOR-TOE BOARD,90815AC060,01,01.06.1997 - 30.11.1998,,,,W,,
body,955,FLOOR INSULATOR,90881G,CLIP-REAR QUARTER,90815AA270,10,01.06.1997 - 30.11.1998,,,,W,,
body,955,FLOOR INSULATOR,W205042,clip,909205042,05,01.06.1997 - 30.11.1998,,,,W,,
body,955,FLOOR INSULATOR,W205054,clip,909205054,03,01.06.1997 - 30.11.1998,,,,W,,
