section,category_code,category_name,group_code,group_name,oem_number,quantity,production_period,applicable_option,spec_color,trim_code,applies_for_models,notes,replacements
electric,842,LAMP (REAR),0237S,FLANGE NUT,023705000,,,,,,,,
electric,842,LAMP (REAR),84201,LAMP ASSEMBLY-REAR COMBINATION RIGHT,84201AC120,01,01.06.1997 - 30.11.1998,,,,W.(LX+TXS+BRIGLD+TSR+GT#+25T#),LH,
electric,842,LAMP (REAR),84201A,LAMP ASSEMBLY-REAR COMBINATION LEFT,84201AC130,01,01.06.1997 - 30.11.1998,,,,W.(LX+TXS+BRIGLD+TSR+GT#+25T#),,
electric,842,LAMP (REAR),84920A,BULB-FRONT COMBINATION LAMP,684102420,02,01.06.1997 - 30.11.1998,,,,W,turn lamp,
electric,842,LAMP (REAR),84920F,VALVE,684102430,02,01.06.1997 - 30.11.1998,,,,W,,
electric,842,LAMP (REAR),84931A,SOCKET COMPLETE-REAR COMBINATION LAMP,84931AC150,04,01.06.1997 - 30.11.1998,,,,W,,
electric,842,LAMP (REAR),84251,LAMP ASSEMBLY-REAR FINISHER,84251AC090,01,01.06.1997 - 30.11.1998,,,,W.(LX+TXS+BRIGLD+TSR+GT#+25T#),,
electric,842,LAMP (REAR),84931Q,SOCKET COMPLETE-REAR FIHISHER LAMP,84931AC110,02,01.06.1997 - 30.11.1998,,,,W,,
electric,842,LAMP (REAR),84956E,cap nut,84956AC020,04,01.06.1997 - 30.11.1998,,,,W,,
