section,category_code,category_name,group_code,group_name,oem_number,quantity,production_period,applicable_option,spec_color,trim_code,applies_for_models,notes,replacements
engine,005,TIMING HOLE PLUG & TRANSMISSION BOLT,11413,PLUG-TIMING HOLE,11413AA032,01,01.06.1997 - 30.11.1998,,,,EJ20# +EJ25D,,11413AA033 ITCA part is available
engine,005,TIMING HOLE PLUG & TRANSMISSION BOLT,22442,STAY-BATTERY CABLE,22442AA001,01,01.06.1997 - 30.11.1998,,,,EJ18E +EJ20# +EJ25D,,
engine,005,TIMING HOLE PLUG & TRANSMISSION BOLT,24233,CLIP-NO.4,24233AA053,01,01.06.1997 - 30.11.1998,,,,EJ18E +EJ20E +EJ20D,,
engine,005,TIMING HOLE PLUG & TRANSMISSION BOLT,A21098,bolt,800210980,01,01.06.1997 - 30.04.1998,,,,AT.(EJ18E+EJ20#+EJ25D),,
engine,005,TIMING HOLE PLUG & TRANSMISSION BOLT,A51007,bolt and washer assembly,800510070,01,01.05.1998 - 30.11.1998,,,,AT.(EJ18E+EJ20#+EJ25D),,
engine,005,TIMING HOLE PLUG & TRANSMISSION BOLT,A51008,bolt and washer assembly,800510080,01,01.05.1998 - 30.11.1998,,,,AT.(EJ18E+EJ20#+EJ25D),,
engine,005,TIMING HOLE PLUG & TRANSMISSION BOLT,A61005,bolt,800610050,01,01.06.1997 - 30.04.1998,,,,AT.(EJ18E+EJ20#+EJ25D),,
engine,005,TIMING HOLE PLUG & TRANSMISSION BOLT,C01008,NUT,802010080,02,01.06.1997 - 30.11.1998,,,,EJ18E +EJ20# +EJ25D,,
engine,005,TIMING HOLE PLUG & TRANSMISSION BOLT,D01012,WASHER,803010120,02,01.05.1998 - 30.11.1998,,10.5X18X2.0,,EJ18E +EJ20# +EJ25D,,
