section,category_code,category_name,group_code,group_name,oem_number,quantity,production_period,applicable_option,spec_color,trim_code,applies_for_models,notes,replacements
body,919,LETTER MARK,93073D*F,"LETTER MARK-GRADE TRUNK LID,LEFT",93022AC150,01,01.06.1997 - 30.11.1998,,,,S.BRI# +W.BRI#,,
body,919,LETTER MARK,93081,clip,93009AC000,02,01.06.1997 - 30.11.1998,,,,S +W,,
body,919,LETTER MARK,93088,LETTER MARK-SUBARU,93022AC870,01,01.06.1997 - 30.11.1998,,,,S +W.(LX+TXS+BRI#+TSR+GT#+25T#),dark grey,93073AE320 ITCA part is available
body,919,LETTER MARK,91572*C,LABEL-REAR WINDOW,91572AC010,01,01.06.1997 - 30.11.1998,,,,W.F4W.(LX+TXS+BRIGLD+TSR+GT#+25T#+LAN#).N/S,,
