section,category_code,category_name,group_code,group_name,oem_number,quantity,production_period,applicable_option,spec_color,trim_code,applies_for_models,notes,replacements
trans,117,"MT, SPEEDOMETER GEAR",0315S,SNAP RING-OUTER,031512000,,,,,,,,
trans,117,"MT, SPEEDOMETER GEAR",32713,SHAFT-SPEEDOMETER,32713AA002,01,01.12.1995 - 31.07.1997,,,,MT,,
trans,117,"MT, SPEEDOMETER GEAR",32714,GEAR-SPEEDOMETER DRIVEN,32714AA051,01,01.12.1995 - 31.07.1997,,,,F4W.MT.(EJ20E+EJ20D),lean burn model excluding,
trans,117,"MT, SPEEDOMETER GEAR",32714,GEAR-SPEEDOMETER DRIVEN,32714AA420,01,01.12.1995 - 31.07.1997,,,,W.F4W.MT.EJ20E,lean burn model,
trans,117,"MT, SPEEDOMETER GEAR",D01206,WASHER,803012060,01,01.12.1995 - 31.07.1997,,,,MT,,
trans,117,"MT, SPEEDOMETER GEAR",F01202,SNAP RING-OUTER,805012020,01,01.12.1995 - 31.07.1997,,,,MT,,
trans,117,"MT, SPEEDOMETER GEAR",G71209,OIL SEAL,806712090,01,01.12.1995 - 31.01.1997,,,,MT,,806712100 ITCA part is available
trans,117,"MT, SPEEDOMETER GEAR",G7121,OIL SEAL,806712100,01,01.02.1997 - 31.07.1997,,,,MT,,
