section,category_code,category_name,group_code,group_name,oem_number,quantity,production_period,applicable_option,spec_color,trim_code,applies_for_models,notes,replacements
body,657,TONNEAU COVER,0451S,TAPPING SCREW-TRUSS HEAD,045105163,,,,,,,,
body,657,TONNEAU COVER,0451S,TAPPING SCREW-TRUSS HEAD,045104103,,,,,,,,
body,657,TONNEAU COVER,65550,TONNEAU COVER ASSEMBLY,65550AC100MU,01,01.06.1997 - 30.11.1998,,,,W,,
body,657,TONNEAU COVER,65554,DAMPER-TONNEAU COVER,65553AC010,02,01.06.1997 - 30.11.1998,,,,W,,
body,657,TONNEAU COVER,65576C,"SUPPORT-CARGO COVER,RIGHT",65580AA000MU,01,01.06.1997 - 30.11.1998,,,,W,,
body,657,TONNEAU COVER,65576D,"SUPPORT-CARGO COVER,LEFT",65580AA010MU,01,01.06.1997 - 30.11.1998,,,,W,,
body,657,TONNEAU COVER,65577A,STOPPER-TONNEAU COVER RIGHT,65552AC000MU,01,01.06.1997 - 30.11.1998,,,,W,,
body,657,TONNEAU COVER,65577B,STOPPER-TONNEAU COVER LEFT,65552AC010MU,01,01.06.1997 - 30.11.1998,,,,W,,
